Country or region,Freedom to make life choices,Generosity,Perceptions of corruption,Overall rank
Finland,0.596,0.153,0.393,1
Denmark,0.592,0.252,0.41,2
Norway,0.603,0.271,0.341,3
Iceland,0.591,0.354,0.118,4
Netherlands,0.557,0.322,0.298,5
Switzerland,0.572,0.263,0.343,6
Sweden,0.574,0.267,0.373,7
New Zealand,0.585,0.33,0.38,8
Canada,0.584,0.285,0.308,9
Austria,0.532,0.244,0.226,10
Australia,0.557,0.332,0.29,11
Costa Rica,0.558,0.144,0.093,12
Israel,0.371,0.261,0.082,13
Luxembourg,0.526,0.194,0.316,14
United Kingdom,0.45,0.348,0.278,15
Ireland,0.516,0.298,0.31,16
Germany,0.495,0.261,0.265,17
Belgium,0.473,0.16,0.21,18
United States,0.454,0.28,0.128,19
Czech Republic,0.457,0.046,0.036,20
United Arab Emirates,0.598,0.262,0.182,21
Malta,0.564,0.375,0.151,22
Mexico,0.433,0.074,0.073,23
France,0.436,0.111,0.183,24
Taiwan,0.351,0.242,0.097,25
Chile,0.357,0.187,0.056,26
Guatemala,0.535,0.175,0.078,27
Saudi Arabia,0.439,0.08,0.132,28
Qatar,0.555,0.22,0.167,29
Spain,0.362,0.153,0.079,30
Panama,0.516,0.109,0.054,31
Brazil,0.39,0.099,0.086,32
Uruguay,0.523,0.127,0.15,33
Singapore,0.556,0.271,0.453,34
El Salvador,0.43,0.093,0.074,35
Italy,0.231,0.158,0.03,36
Bahrain,0.536,0.255,0.11,37
Slovakia,0.334,0.121,0.014,38
Trinidad & Tobago,0.489,0.185,0.016,39
Poland,0.483,0.117,0.05,40
Uzbekistan,0.631,0.322,0.24,41
Lithuania,0.291,0.043,0.042,42
Colombia,0.47,0.099,0.034,43
Slovenia,0.564,0.144,0.057,44
Nicaragua,0.435,0.2,0.127,45
Kosovo,0.489,0.262,0.006,46
Argentina,0.471,0.066,0.05,47
Romania,0.462,0.083,0.005,48
Cyprus,0.406,0.19,0.041,49
Ecuador,0.498,0.126,0.087,50
Kuwait,0.493,0.142,0.097,51
Thailand,0.557,0.359,0.028,52
Latvia,0.264,0.075,0.064,53
South Korea,0.159,0.175,0.056,54
Estonia,0.495,0.103,0.161,55
Jamaica,0.49,0.107,0.028,56
Mauritius,0.498,0.215,0.06,57
Japan,0.445,0.069,0.14,58
Honduras,0.507,0.246,0.078,59
Kazakhstan,0.41,0.146,0.096,60
Bolivia,0.511,0.137,0.064,61
Hungary,0.199,0.081,0.02,62
Paraguay,0.514,0.184,0.08,63
Northern Cyprus,0.417,0.191,0.162,64
Peru,0.455,0.083,0.027,65
Portugal,0.508,0.047,0.025,66
Pakistan,0.313,0.22,0.098,67
Russia,0.334,0.082,0.031,68
Philippines,0.558,0.117,0.107,69
Serbia,0.282,0.137,0.039,70
